gene,function,category,functional_group
SAOUHSC_00398,restriction modification system specificity subunit,Cellular processes,Cellular processes
SAOUHSC_00399,superantigen-like protein,,Virulence
SAOUHSC_00400,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00401,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00402,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00404,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00405,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00406,hypothetical protein,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_00407,hypothetical protein,Cellular processes; DNA metabolism,Cellular processes
SAOUHSC_00408,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00409,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00410,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00411,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00411.1,Phenol-soluble modulin alpha 4 peptide,,Unknown/Hypothetical
SAOUHSC_00411.2,Phenol-soluble modulin alpha 3 peptide,,Unknown/Hypothetical
SAOUHSC_00411.3,Phenol-soluble modulin alpha 2 peptide,,Unknown/Hypothetical
SAOUHSC_00411.4,Phenol-soluble modulin alpha 1 peptide,,Unknown/Hypothetical
SAOUHSC_00412,NADH dehydrogenase subunit 5,Energy metabolism,Energy metabolism
SAOUHSC_00413,hypothetical protein,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_00414,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00415,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00416,hypothetical protein,Protein fate; Transport and binding proteins,Protein fate
SAOUHSC_00417,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00418,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00420,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00421,hypothetical protein,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_00422,trans-sulfuration enzyme family protein,,Unknown/Hypothetical
SAOUHSC_00423,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00424,ABC transporter permease,Transport and binding proteins,Transport
SAOUHSC_00426,ABC transporter substrate-binding protein,Cell envelope,Cell envelope
SAOUHSC_00427,autolysin,Cellular processes,Cellular processes
SAOUHSC_00428,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00429,MutT/nudix family protein,DNA metabolism,DNA metabolism
SAOUHSC_00430,hypothetical protein,Protein synthesis,Translation
SAOUHSC_00431,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00433,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00434,LysR family transcriptional regulator,,Unknown/Hypothetical
SAOUHSC_00435,glutamate synthase large subunit,,Unknown/Hypothetical
SAOUHSC_00436,glutamate synthase subunit beta,,Unknown/Hypothetical
SAOUHSC_00437,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00438,alpha amylase family protein,,Unknown/Hypothetical
SAOUHSC_00439,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_00440,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00441,hypothetical protein,Protein synthesis,Translation
SAOUHSC_00442,DNA polymerase III subunits gamma and tau,DNA metabolism,DNA metabolism
SAOUHSC_00444,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_00445,recombination protein RecR,DNA metabolism,DNA metabolism
SAOUHSC_00446,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00450,Orn/Lys/Arg decarboxylase,,Unknown/Hypothetical
SAOUHSC_00451,thymidylate kinase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_00452,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00453,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00454,DNA polymerase III subunit delta',DNA metabolism,DNA metabolism
SAOUHSC_00455,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00456,DNA replication intiation control protein YabA,,Unknown/Hypothetical
SAOUHSC_00457,hypothetical protein,Protein fate,Protein fate
SAOUHSC_00458,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00459,hypothetical protein,Protein synthesis,Translation
SAOUHSC_00460,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00461,methionyl-tRNA synthetase,Protein synthesis,Translation
SAOUHSC_00462,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_00463,hypothetical protein,Transcription,Transcription
SAOUHSC_00464,dimethyladenosine transferase,Protein synthesis,Translation
SAOUHSC_00465,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00466,4-diphosphocytidyl-2C-methyl-D-erythritol kinase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00467,pur operon repressor,"Purines, pyrimidines, nucleosides, and nucleotides; Regulatory functions",Nucleotide metabolism
SAOUHSC_00468,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_00469,regulatory protein SpoVG,,Unknown/Hypothetical
SAOUHSC_00470,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00471,bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase,Cell envelope; Central intermediary metabolism,Cell envelope
SAOUHSC_00472,ribose-phosphate pyrophosphokinase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_00473,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00474,50S ribosomal protein L25/general stress protein Ctc,Protein synthesis,Translation
SAOUHSC_00475,peptidyl-tRNA hydrolase,Protein synthesis,Translation
SAOUHSC_00477,transcription-repair coupling factor,DNA metabolism,DNA metabolism
SAOUHSC_00479,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_00480,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_00481,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00482,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_00483,hypothetical protein,Transcription,Transcription
SAOUHSC_00484,hypothetical protein,Protein synthesis,Translation
SAOUHSC_00485,hypoxanthine phosphoribosyltransferase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_00486,hypothetical protein,Cellular processes; Protein fate,Cellular processes
SAOUHSC_00487,Hsp33-like chaperonin,,Unknown/Hypothetical
SAOUHSC_00488,hypothetical protein,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_00489,dihydropteroate synthase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00490,dihydroneopterin aldolase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00491,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00492,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00493,lysyl-tRNA synthetase,Protein synthesis,Translation
SAOUHSC_00497,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00499,pyridoxal biosynthesis lyase PdxS,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00500,glutamine amidotransferase subunit PdxT,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00501,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00502,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00503,UvrB/UvrC motif-containing protein,DNA metabolism,DNA metabolism
SAOUHSC_00504,ATP:guanido phosphotransferase,,Unknown/Hypothetical
SAOUHSC_00505,endopeptidase,Protein fate,Protein fate
SAOUHSC_00506,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00507,DNA repair protein RadA,DNA metabolism,DNA metabolism
SAOUHSC_00508,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00509,glutamyl-tRNA synthetase,Protein synthesis,Translation
SAOUHSC_00510,serine acetyltransferase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_00511,cysteinyl-tRNA synthetase,Protein synthesis,Translation
SAOUHSC_00512,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00513,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,Protein synthesis,Translation
SAOUHSC_00514,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00515,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00516,preprotein translocase subunit SecE,Protein fate,Protein fate
SAOUHSC_00517,transcription antitermination protein,Transcription,Transcription
SAOUHSC_00518,50S ribosomal protein L11,Protein synthesis,Translation
SAOUHSC_00519,50S ribosomal protein L1,Protein synthesis,Translation
SAOUHSC_00520,50S ribosomal protein L10,Protein synthesis,Translation
SAOUHSC_00521,50S ribosomal protein L7/L12,Protein synthesis,Translation
SAOUHSC_00523,hypothetical protein,Protein fate,Protein fate
SAOUHSC_00524,DNA-directed RNA polymerase subunit beta,Transcription,Transcription
SAOUHSC_00525,DNA-directed RNA polymerase subunit beta',Transcription,Transcription
SAOUHSC_00526,50S ribosomal protein L7Ae-like protein,,Unknown/Hypothetical
SAOUHSC_00527,30S ribosomal protein S12,Protein synthesis,Translation
SAOUHSC_00528,30S ribosomal protein S7,Protein synthesis,Translation
SAOUHSC_00529,elongation factor G,Protein synthesis,Translation
SAOUHSC_00530,elongation factor Tu,Protein synthesis,Translation
SAOUHSC_00531,hypothetical protein,Protein fate,Protein fate
SAOUHSC_00532,2-amino-3-ketobutyrate coenzyme A ligase,,Unknown/Hypothetical
SAOUHSC_00533,chaperone protein HchA,Protein fate,Protein fate
SAOUHSC_00534,ribulokinase,Energy metabolism,Energy metabolism
SAOUHSC_00535,hypothetical protein,Cell envelope,Cell envelope
SAOUHSC_00536,branched-chain amino acid aminotransferase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_00537,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00538,haloacid dehalogenase-like hydrolase,,Unknown/Hypothetical
SAOUHSC_00539,hypothetical protein,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_00540,hypothetical protein,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_00541,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00542,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_00543,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_A00526,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00544,fibrinogen-binding protein SdrC,,Virulence
SAOUHSC_00545,fibrinogen-binding protein SdrD,,Virulence
SAOUHSC_00547,hypothetical protein,Protein fate,Protein fate
SAOUHSC_00548,hypothetical protein,Protein fate,Protein fate
SAOUHSC_00549,GTP cyclohydrolase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00550,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00551,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00552,hypothetical protein,Central intermediary metabolism,Central metabolism
SAOUHSC_00553,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00554,6-phospho 3-hexuloisomerase,,Unknown/Hypothetical
SAOUHSC_00555,haloacid dehalogenase-like hydrolase,Energy metabolism,Energy metabolism
SAOUHSC_00556,proline/betaine transporter,Transport and binding proteins,Transport
SAOUHSC_00557,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00558,acetyl-CoA acetyltransferase,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_00559,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00560,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00561,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00562,phosphomethylpyrimidine kinase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00564,uracil-DNA glycosylase,DNA metabolism,DNA metabolism
SAOUHSC_00565,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00567,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00569,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00571,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00572,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00573,heme peroxidase,,Unknown/Hypothetical
SAOUHSC_00574,phosphotransacetylase,Central intermediary metabolism; Energy metabolism,Central metabolism
SAOUHSC_00575,hypothetical protein,Protein fate,Protein fate
SAOUHSC_00577,mevalonate kinase,Central intermediary metabolism,Central metabolism
SAOUHSC_00578,mevalonate diphosphate decarboxylase,Central intermediary metabolism,Central metabolism
SAOUHSC_00579,phosphomevalonate kinase,Central intermediary metabolism,Central metabolism
SAOUHSC_00580,hypothetical protein,Protein synthesis,Translation
SAOUHSC_00581,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00582,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_00583,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00584,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00585,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00586,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00587,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00588,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00589,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00591,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00592,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00596,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00598,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00599,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00600,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00602,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00603,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00604,hypothetical protein,Central intermediary metabolism,Central metabolism
SAOUHSC_00605,hypothetical protein,Protein synthesis,Translation
SAOUHSC_00606,hypothetical protein,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_00607,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00608,alcohol dehydrogenase,Energy metabolism,Energy metabolism
SAOUHSC_00609,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00610,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00611,arginyl-tRNA synthetase,Protein synthesis,Translation
SAOUHSC_00612,endonuclease III,DNA metabolism,DNA metabolism
SAOUHSC_00613,iron compound ABC transporter substrate-binding protein,,Unknown/Hypothetical
SAOUHSC_00614,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00615,haloacid dehalogenase-like hydrolase,,Unknown/Hypothetical
SAOUHSC_00616,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_00617,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00618,hypothetical protein,Cell envelope,Cell envelope
SAOUHSC_00619,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_00620,accessory regulator A,Regulatory functions,Regulatory
SAOUHSC_00621,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00622,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00624,integrase/recombinase,DNA metabolism,DNA metabolism
SAOUHSC_00625,monovalent cation/H+ antiporter subunit A,Transport and binding proteins,Transport
SAOUHSC_00626,monovalent cation/H+ antiporter subunit B,Transport and binding proteins,Transport
SAOUHSC_00627,monovalent cation/H+ antiporter subunit C,Transport and binding proteins,Transport
SAOUHSC_00628,monovalent cation/H+ antiporter subunit D,Transport and binding proteins,Transport
SAOUHSC_00629,monovalent cation/H+ antiporter subunit E,Transport and binding proteins,Transport
SAOUHSC_00630.1,monovalent cation/H+ antiporter subunit F,Cellular processes,Cellular processes
SAOUHSC_00632,monovalent cation/H+ antiporter subunit G,Transport and binding proteins,Transport
SAOUHSC_00633,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00634,ABC transporter substrate-binding protein,Transport and binding proteins,Transport
SAOUHSC_00636,iron (chelated) ABC transporter permease,Transport and binding proteins,Transport
SAOUHSC_00637,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00638,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00639,hypothetical protein,Protein fate,Protein fate
SAOUHSC_00640,teichoic acid biosynthesis protein,Cell envelope,Cell envelope
SAOUHSC_00641,teichoic acids export protein ATP-binding subunit,Transport and binding proteins,Virulence
SAOUHSC_00642,teichoic acid biosynthesis protein,,Cell envelope
SAOUHSC_00643,teichoic acid biosynthesis protein TagB,Cell envelope,Cell envelope
SAOUHSC_00644,glycosyltransferase TagX,,Unknown/Hypothetical
SAOUHSC_00645,glycerol-3-phosphate cytidylyltransferase,Cell envelope,Cell envelope
SAOUHSC_00646,penicillin-binding protein 4,,Virulence
SAOUHSC_00647,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00648,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00650,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00651,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00652,iron compound ABC transporter ATP-binding protein,,Unknown/Hypothetical
SAOUHSC_00653,ferrichrome transport permease FhuB,,Unknown/Hypothetical
SAOUHSC_00654,ferrichrome ABC transporter permease,,Unknown/Hypothetical
SAOUHSC_00655,dihydroxyacetone kinase subunit DhaK,,Unknown/Hypothetical
SAOUHSC_00656,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00658,PTS system mannnose-specific family transporter subunit IIA,,Unknown/Hypothetical
SAOUHSC_00659,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00660,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00661,hypothetical protein,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_A00635,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00662,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00663,hypothetical protein,Protein synthesis,Translation
SAOUHSC_00664,hypothetical protein,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_00665,hypothetical protein,Regulatory functions; Signal transduction,Regulatory
SAOUHSC_00666,hypothetical protein,Signal transduction,Signal transduction
